prefecture,region,population,area,density
北海道,北海道,5320000,83424,63.770617568085925
青森県,東北,1246000,9646,129.17271407837447
岩手県,東北,1227000,15275,80.32733224222586
宮城県,東北,2306000,7282,316.6712441636913
秋田県,東北,966000,11638,83.00395256916995
山形県,東北,1078000,9323,115.62801673281133
福島県,東北,1846000,13784,133.92338943702845
茨城県,関東,2860000,6097,469.08315565031984
栃木県,関東,1934000,6408,301.8102372034956
群馬県,関東,1942000,6362,305.2499214083621
埼玉県,関東,7350000,3798,1935.2290679304897
千葉県,関東,6259000,5158,1213.454827452501
東京都,関東,14049000,2194,6403.372835004558
神奈川県,関東,9237000,2416,3823.2615894039736
新潟県,中部,2223000,12584,176.65289256198346
富山県,中部,1044000,4248,245.76271186440678
石川県,中部,1138000,4186,271.8585762064023
福井県,中部,768000,4190,183.29355608591885
山梨県,中部,811000,4465,181.6349384098544
長野県,中部,2049000,13105,156.35253719954216
岐阜県,中部,1987000,10621,187.08219565012712
静岡県,中部,3644000,7777,468.5611418284686
愛知県,中部,7552000,5172,1460.1701469450888
三重県,近畿,1781000,5774,308.45167994457915
滋賀県,近畿,1414000,4017,352.0039830719442
京都府,近畿,2583000,4612,560.0607111882047
大阪府,近畿,8809000,1905,4624.146981627297
兵庫県,近畿,5466000,8401,650.6368289489346
奈良県,近畿,1330000,3691,360.3359523164454
和歌山県,近畿,925000,4725,195.76719576719577
鳥取県,中国,556000,3507,158.5400627316795
島根県,中国,674000,6708,100.47704233750746
岡山県,中国,1890000,7115,265.6359803232607
広島県,中国,2804000,8479,330.6993749262885
山口県,中国,1358000,6112,222.18586387434556
徳島県,四国,728000,4147,175.5485893416928
香川県,四国,956000,1877,509.3233883857219
愛媛県,四国,1339000,5676,235.90556730091615
高知県,四国,698000,7104,98.25450450450451
福岡県,九州,5104000,4987,1023.4609985963505
佐賀県,九州,815000,2441,333.8795575583777
長崎県,九州,1327000,4133,321.0742801838858
熊本県,九州,1748000,7409,235.92927520583075
大分県,九州,1135000,6341,178.99384955054407
宮崎県,九州,1073000,7735,138.72010342598577
鹿児島県,九州,1599000,9187,174.05028845107216
沖縄県,沖縄,1454000,2281,637.4397194213064
